subcategory,tickets
Barcode sticker request (Research centers only),2
Barcodes for circulating materials,5
Call number error,362
Call number missing,25
Cataloging Request for a Free Internet Resource,18
Cataloging error,202
Collection HQ,10
Damaged material / missing pieces,3
Duplicate records,1
Electronic resource,128
Holds fulfillment--NYPL only,7
Item attached to wrong bib record,56
Item not linked,83
Item record problem,41
Leased items,2
Location code error,11
OCLC Holdings,6
Online Catalog,47
Other,215
Spine labels,69
Status of request,1
Volume record needed,4
